uid,date,data,timestamp
user1,2018-10-12 00:22:40.072,0,1539318160
user1,2018-10-12 01:25:34.710,1,1539321934
user1,2018-10-12 01:25:44.789,0,1539321944
user1,2018-10-12 01:38:48.076,1,1539322728
user1,2018-10-12 01:38:51.204,0,1539322731
user1,2018-10-12 01:44:48.630,1,1539323088
user1,2018-10-12 01:44:55.759,0,1539323095
user1,2018-10-12 01:45:03.509,1,1539323103
user1,2018-10-12 01:45:14.365,0,1539323114
user1,2018-10-12 04:48:15.927,1,1539334095
user1,2018-10-12 04:48:26.592,0,1539334106
user1,2018-10-12 07:45:06.243,1,1539344706
user1,2018-10-12 07:45:17.046,0,1539344717
user1,2018-10-12 09:08:35.578,1,1539349715
user1,2018-10-12 09:08:46.288,0,1539349726
user1,2018-10-12 09:20:00.039,1,1539350400
user1,2018-10-12 09:20:10.924,0,1539350410
user1,2018-10-12 09:57:59.609,1,1539352679
user1,2018-10-12 09:58:24.871,0,1539352704
user1,2018-10-12 09:58:28.877,1,1539352708
user1,2018-10-12 09:58:30.848,0,1539352710
user1,2018-10-12 09:58:36.296,1,1539352716
user1,2018-10-12 09:58:47.260,0,1539352727
user1,2018-10-12 10:11:59.894,1,1539353519
user1,2018-10-12 10:12:43.372,0,1539353563
user1,2018-10-12 10:13:22.391,1,1539353602
user1,2018-10-12 10:13:25.759,0,1539353605
user1,2018-10-12 10:13:31.312,1,1539353611
user1,2018-10-12 10:13:36.984,0,1539353616
user1,2018-10-12 10:15:18.706,1,1539353718
user1,2018-10-12 10:15:23.124,0,1539353723
user1,2018-10-12 10:18:02.072,1,1539353882
user1,2018-10-12 10:18:12.862,0,1539353892
user1,2018-10-12 10:31:09.884,1,1539354669
user1,2018-10-12 10:31:12.865,0,1539354672
user1,2018-10-12 10:44:25.213,1,1539355465
user1,2018-10-12 10:44:34.934,0,1539355474
user1,2018-10-12 10:47:43.555,1,1539355663
user1,2018-10-12 10:47:54.240,0,1539355674
user1,2018-10-12 10:57:24.431,1,1539356244
user1,2018-10-12 10:57:27.428,0,1539356247
user1,2018-10-12 11:19:18.479,1,1539357558
user1,2018-10-12 11:19:28.194,0,1539357568
user1,2018-10-12 11:31:24.345,1,1539358284
user1,2018-10-12 11:31:25.525,0,1539358285
user1,2018-10-12 11:31:25.822,1,1539358285
user1,2018-10-12 11:31:29.122,0,1539358289
user1,2018-10-12 12:40:12.818,1,1539362412
user1,2018-10-12 12:40:14.885,0,1539362414
user1,2018-10-12 12:40:50.980,1,1539362450
user1,2018-10-12 12:41:30.325,0,1539362490
user1,2018-10-12 12:41:53.101,1,1539362513
user1,2018-10-12 12:43:48.401,0,1539362628
user1,2018-10-12 12:44:29.441,1,1539362669
user1,2018-10-12 12:44:31.242,0,1539362671
user1,2018-10-12 12:44:31.482,1,1539362671
user1,2018-10-12 12:44:41.983,0,1539362681
user1,2018-10-12 12:45:16.345,1,1539362716
user1,2018-10-12 12:46:52.479,0,1539362812
user1,2018-10-12 13:59:29.749,1,1539367169
user1,2018-10-12 13:59:37.756,0,1539367177
user1,2018-10-12 14:04:23.171,1,1539367463
user1,2018-10-12 14:04:26.631,0,1539367466
user1,2018-10-12 14:05:22.552,1,1539367522
user1,2018-10-12 14:05:36.555,0,1539367536
user1,2018-10-12 14:05:38.571,1,1539367538
user1,2018-10-12 14:05:40.795,0,1539367540
user1,2018-10-12 15:44:47.286,1,1539373487
user1,2018-10-12 15:49:31.911,0,1539373771
user1,2018-10-12 15:49:45.529,1,1539373785
user1,2018-10-12 15:49:50.394,0,1539373790
user1,2018-10-12 15:53:06.437,1,1539373986
user1,2018-10-12 15:53:17.181,0,1539373997
user1,2018-10-12 15:53:37.242,1,1539374017
user1,2018-10-12 15:53:44.727,0,1539374024
user1,2018-10-12 15:56:13.855,1,1539374173
user1,2018-10-12 15:56:22.762,0,1539374182
user1,2018-10-12 15:58:24.186,1,1539374304
user1,2018-10-12 15:58:28.043,0,1539374308
user1,2018-10-12 16:00:10.267,1,1539374410
user1,2018-10-12 16:00:13.221,0,1539374413
user1,2018-10-12 16:01:27.203,1,1539374487
user1,2018-10-12 16:01:31.033,0,1539374491
user1,2018-10-12 16:11:03.190,1,1539375063
user1,2018-10-12 16:19:35.374,0,1539375575
user1,2018-10-12 16:49:50.043,1,1539377390
user1,2018-10-12 16:50:31.934,0,1539377431
user1,2018-10-12 16:50:34.040,1,1539377434
user1,2018-10-12 16:52:13.125,0,1539377533
user1,2018-10-12 16:58:36.359,1,1539377916
user1,2018-10-12 16:58:59.831,0,1539377939
user1,2018-10-12 17:01:10.431,1,1539378070
user1,2018-10-12 17:01:16.326,0,1539378076
user1,2018-10-12 17:02:19.709,1,1539378139
user1,2018-10-12 17:02:25.365,0,1539378145
user1,2018-10-12 17:06:29.420,1,1539378389
user1,2018-10-12 17:06:40.193,0,1539378400
user1,2018-10-12 17:09:44.012,1,1539378584
user1,2018-10-12 17:09:47.385,0,1539378587
user1,2018-10-12 17:14:14.602,1,1539378854
user1,2018-10-12 17:14:21.421,0,1539378861
user1,2018-10-12 17:14:45.980,1,1539378885
user1,2018-10-12 17:14:57.499,0,1539378897
user1,2018-10-12 17:25:27.092,1,1539379527
user1,2018-10-12 17:25:28.263,0,1539379528
user1,2018-10-12 17:25:28.631,1,1539379528
user1,2018-10-12 17:25:30.931,0,1539379530
user1,2018-10-12 17:45:26.927,1,1539380726
user1,2018-10-12 17:45:32.448,0,1539380732
user1,2018-10-12 18:40:02.144,1,1539384002
user1,2018-10-12 18:40:09.516,0,1539384009
user1,2018-10-12 18:40:49.007,1,1539384049
user1,2018-10-12 18:41:54.721,0,1539384114
user1,2018-10-12 18:43:24.773,1,1539384204
user1,2018-10-12 18:44:57.059,0,1539384297
user1,2018-10-12 18:50:47.131,1,1539384647
user1,2018-10-12 18:50:48.898,0,1539384648
user1,2018-10-12 18:55:53.552,1,1539384953
user1,2018-10-12 18:55:56.316,0,1539384956
