_id,duration,number,time,type,uid,timestamp
5fa93e857ce95e580bef5f82,341,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-06-23 15:33:19,1,user1,1498246399
5fa93e857ce95e580bef5f83,37,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-06-24 09:57:29,1,user1,1498312649
5fa93e857ce95e580bef5f84,0,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-06-24 15:29:09,2,user1,1498332549
5fa93e857ce95e580bef5f85,70,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-06-24 15:29:55,1,user1,1498332595
5fa93e857ce95e580bef5f86,322,4671ffbdd7a25b627a96191ca649b99e917dc35,2017-06-25 21:17:36,2,user1,1498439856
5fa93e857ce95e580bef5f87,969,1ea1a7062ba95dd2adb6bfeae40e4e69b761d8a,2017-06-25 22:39:44,2,user1,1498444784
5fa93e857ce95e580bef5f88,78,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-06-26 10:34:40,1,user1,1498487680
5fa93e857ce95e580bef5f89,89,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-06-26 12:12:24,2,user1,1498493544
5fa93e857ce95e580bef5f8a,93,10002a31320e099689975a3d80b1522bd9fc2150,2017-06-26 15:00:09,1,user1,1498503609
5fa93e857ce95e580bef5f8b,60,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-06-27 11:48:43,1,user1,1498578523
5fa93e857ce95e580bef5f8c,53,10002a31320e099689975a3d80b1522bd9fc2150,2017-06-27 12:03:56,1,user1,1498579436
5fa93e857ce95e580bef5f8d,23,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-06-27 13:41:49,1,user1,1498585309
5fa93e857ce95e580bef5f8e,82,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-06-27 14:43:41,2,user1,1498589021
5fa93e857ce95e580bef5f8f,135,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-06-27 16:13:32,1,user1,1498594412
5fa93e857ce95e580bef5f90,58,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-06-27 16:16:31,1,user1,1498594591
5fa93e857ce95e580bef5f91,129,10002a31320e099689975a3d80b1522bd9fc2150,2017-06-27 18:29:08,2,user1,1498602548
5fa93e857ce95e580bef5f92,576,4671ffbdd7a25b627a96191ca649b99e917dc35,2017-06-27 19:14:02,2,user1,1498605242
5fa93e857ce95e580bef5f93,220,f22f197fe2fcfb242af05d29696e1722368239c3,2017-06-27 19:24:19,2,user1,1498605859
5fa93e857ce95e580bef5f94,35,4671ffbdd7a25b627a96191ca649b99e917dc35,2017-06-28 08:35:12,2,user1,1498653312
5fa93e857ce95e580bef5f95,197,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-06-28 09:59:38,1,user1,1498658378
5fa93e857ce95e580bef5f96,30,4671ffbdd7a25b627a96191ca649b99e917dc35,2017-06-28 12:28:26,2,user1,1498667306
5fa93e857ce95e580bef5f97,28,f22f197fe2fcfb242af05d29696e1722368239c3,2017-06-28 12:37:04,1,user1,1498667824
5fa93e857ce95e580bef5f98,18,4671ffbdd7a25b627a96191ca649b99e917dc35,2017-06-28 14:41:15,2,user1,1498675275
5fa93e857ce95e580bef5f99,3101,4671ffbdd7a25b627a96191ca649b99e917dc35,2017-06-28 17:17:01,1,user1,1498684621
5fa93e857ce95e580bef5f9a,966,1ea1a7062ba95dd2adb6bfeae40e4e69b761d8a,2017-06-28 22:05:29,1,user1,1498701929
5fa93e857ce95e580bef5f9b,183,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-06-29 10:36:04,1,user1,1498746964
5fa93e857ce95e580bef5f9c,63,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-06-29 12:22:35,1,user1,1498753355
5fa93e857ce95e580bef5f9d,0,10002a31320e099689975a3d80b1522bd9fc2150,2017-06-29 13:14:02,6503,user1,1498756442
5fa93e857ce95e580bef5f9e,3,10002a31320e099689975a3d80b1522bd9fc2150,2017-06-29 13:14:21,2,user1,1498756461
5fa93e857ce95e580bef5f9f,5,10002a31320e099689975a3d80b1522bd9fc2150,2017-06-29 13:14:49,2,user1,1498756489
5fa93e857ce95e580bef5fa0,104,10002a31320e099689975a3d80b1522bd9fc2150,2017-06-29 13:18:57,1,user1,1498756737
5fa93e857ce95e580bef5fa1,51,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-06-29 13:23:16,1,user1,1498756996
5fa93e857ce95e580bef5fa2,49,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-06-29 19:09:24,1,user1,1498777764
5fa93e857ce95e580bef5fa3,0,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-06-29 19:11:12,3,user1,1498777872
5fa93e857ce95e580bef5fa4,67,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-06-29 19:37:35,1,user1,1498779455
5fa93e857ce95e580bef5fa5,102,10002a31320e099689975a3d80b1522bd9fc2150,2017-06-30 12:24:17,1,user1,1498839857
5fa93e857ce95e580bef5fa6,83,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-06-30 13:16:22,1,user1,1498842982
5fa93e857ce95e580bef5fa7,25,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-06-30 13:18:02,1,user1,1498843082
5fa93e857ce95e580bef5fa8,87,4671ffbdd7a25b627a96191ca649b99e917dc35,2017-06-30 21:49:22,2,user1,1498873762
5fa93e857ce95e580bef5fa9,0,10002a31320e099689975a3d80b1522bd9fc2150,2017-07-01 14:36:44,6503,user1,1498934204
5fa93e857ce95e580bef5faa,23,10002a31320e099689975a3d80b1522bd9fc2150,2017-07-01 15:17:40,2,user1,1498936660
5fa93e857ce95e580bef5fab,131,10002a31320e099689975a3d80b1522bd9fc2150,2017-07-03 11:29:35,1,user1,1499095775
5fa93e857ce95e580bef5fac,845,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-07-03 12:52:34,1,user1,1499100754
5fa93e857ce95e580bef5fad,0,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-07-03 17:40:45,2,user1,1499118045
5fa93e857ce95e580bef5fae,95,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-07-03 17:57:01,1,user1,1499119021
5fa93e857ce95e580bef5faf,38,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-07-03 19:02:28,1,user1,1499122948
5fa93e857ce95e580bef5fb0,25,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-07-03 19:52:47,1,user1,1499125967
5fa93e857ce95e580bef5fb1,0,10002a31320e099689975a3d80b1522bd9fc2150,2017-07-04 15:08:42,6503,user1,1499195322
5fa93e857ce95e580bef5fb2,0,10002a31320e099689975a3d80b1522bd9fc2150,2017-07-04 15:09:31,6503,user1,1499195371
5fa93e857ce95e580bef5fb3,0,10002a31320e099689975a3d80b1522bd9fc2150,2017-07-04 15:13:30,6503,user1,1499195610
5fa93e857ce95e580bef5fb4,5,10002a31320e099689975a3d80b1522bd9fc2150,2017-07-04 15:54:49,2,user1,1499198089
5fa93e857ce95e580bef5fb5,24,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-07-05 17:36:34,2,user1,1499290594
5fa93e857ce95e580bef5fb6,222,55c42c7bcaea31d851ba4568e6e9d187e426bb2a,2017-07-05 17:48:23,1,user1,1499291303
