data,day,uid,timestamp
com.groupme.android,2019-02-22 17:53:56.023,user1,1550876036
com.google.android.apps.maps,2019-02-22 17:55:56.315,user1,1550876156
com.google.android.apps.maps,2019-02-22 18:04:06.453,user1,1550876646
com.android.mms,2019-02-22 18:08:07.381,user1,1550876887
com.android.contacts,2019-02-22 18:10:07.392,user1,1550877007
com.lge.launcher2,2019-02-22 18:14:07.835,user1,1550877247
com.groupme.android,2019-02-22 19:02:18.203,user1,1550880138
com.android.mms,2019-02-22 19:56:51.857,user1,1550883411
com.android.mms,2019-02-22 21:17:10.486,user1,1550888230
com.android.calendar,2019-02-22 21:25:17.266,user1,1550888717
com.android.mms,2019-02-22 22:44:23.374,user1,1550893463
com.snapchat.android,2019-02-22 23:17:02.563,user1,1550895422
com.google.android.youtube,2019-02-22 23:49:31.380,user1,1550897371
com.snapchat.android,2019-02-22 23:57:32.730,user1,1550897852
com.android.mms,2019-02-23 15:14:03.974,user1,1550952843
com.android.mms,2019-02-23 15:16:05.516,user1,1550952965
com.android.mms,2019-02-23 15:22:13.226,user1,1550953333
com.android.systemui,2019-02-23 16:04:40.982,user1,1550955880
com.android.mms,2019-02-23 16:18:45.413,user1,1550956725
com.android.mms,2019-02-23 17:25:53.696,user1,1550960753
com.groupme.android,2019-02-23 17:38:04.971,user1,1550961484
com.lge.launcher2,2019-02-23 19:31:42.983,user1,1550968302
com.android.mms,2019-02-23 19:33:42.992,user1,1550968422
com.lge.wifisettings,2019-02-23 20:06:03.641,user1,1550970363
com.android.mms,2019-02-23 21:06:06.595,user1,1550973966
com.snapchat.android,2019-02-24 09:45:47.323,user1,1551019547
com.android.mms,2019-02-24 10:34:40.200,user1,1551022480
com.android.mms,2019-02-24 10:56:55.253,user1,1551023815
com.snapchat.android,2019-02-24 12:14:16.128,user1,1551028456
com.snapchat.android,2019-02-24 12:16:17.438,user1,1551028577
com.groupme.android,2019-02-24 12:24:26.464,user1,1551029066
com.groupme.android,2019-02-24 12:26:26.480,user1,1551029186
com.lge.wifisettings,2019-02-24 16:42:20.779,user1,1551044540
com.facebook.katana,2019-02-24 16:46:21.000,user1,1551044781
com.facebook.katana,2019-02-24 16:48:23.778,user1,1551044903
com.facebook.katana,2019-02-24 16:50:23.826,user1,1551045023
com.facebook.katana,2019-02-24 16:52:26.246,user1,1551045146
com.facebook.katana,2019-02-24 16:54:26.255,user1,1551045266
com.facebook.katana,2019-02-24 16:58:26.507,user1,1551045506
